Timestamp,Extracting Liquid,Brand Name,What kind of beans did you use?,Age of the Extract at Testing,Ratio of Beans to Booze,Was the alcohol or extract heated at all? Please specify details if so.,Were the beans split?,Did you finish the extract with Oak Blocks?,How would you rate the overall flavor of the extract?,How would you rate the booziness of the extract? (Smelling),How Vanilla-y does it smell?,Please rate the color of the finished extract,Would you use this combination again?,Other comments or notes:
4/1/2021 7:32,Vodka,Svedka,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No heat,None of the beans were split,No,4,3,4,4,Yes,"As I use the bean caviar, I do cut up bean and add back to jar. "
4/1/2021 7:44,Vodka,Three Olives,Madagascar Mexican Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,5,4,4,Yes,
4/1/2021 7:53,Gold Rum,Bacardi gold,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),,None of the beans were split,No,4,4,4,5,Yes,
4/1/2021 7:56,Vodka,Potter's,"3 oz each Madagascar Bourbon, Sri Lankan, Ugandan splits, and PNG Planifolia",6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,"Yes, I used Dark Toast",5,5,4,4,Yes,"The finishing blocks made a huge difference!  Mixing beans gave a well-rounded vanilla flavor, but doesn't retain the distinct flavor notes of the individual varieties.  "
4/1/2021 8:24,Vodka,Tito’s ,Madagascar Bourbon Cure,,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,,Yes,My abstract is still brewing so I am unable to answer all the questions. 
4/1/2021 9:08,Vodka,Kirkland - French,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),125 for 72 hours,None of the beans were split,No,5,4,5,4,Yes,
4/1/2021 9:09,Vodka,Kirkland - French,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,5,5,5,4,Yes,
4/1/2021 10:34,Vodka,Tito's Handcrafted Vodka,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,4,3,Maybe,It's still cooking away.
4/1/2021 11:17,White/Light/Silver Rum,Bacardi,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,Still brewing ,,,3,2,Yes,"So new,  waiting.  But it's taking on the smell of vanilla, but can smell the alcohol"
4/1/2021 11:19,Bourbon,Elijah Craig ,Tahitian ,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,,,2,3,,Yes,"Just started it, only 2 months."
4/1/2021 11:21,Vodka,Titos,Indonesian/Madagascar ,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,,,,3,3,Yes,Just started. Smelling great. Can't wait. 
4/1/2021 11:23,Vodka,New Amsterdam ,Ugandan,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,,,4,3,4,Yes,This is the best smelling so far. It's only 2 months. It's gonna make great things in the future. 
4/1/2021 11:26,Dark Rum,Pampero,Mexican,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,,,,,,Yes,This is my newest one. Only 2 weeks. Can't wait.
4/1/2021 14:47,Vodka,Cosco American,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,5,Yes,
4/1/2021 14:47,Vodka,Cosco American,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,5,Yes,
4/1/2021 15:27,Bourbon,Wild Turkey,Madagascar Bourbon Cure,3-6 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),,Part of the beans were split,No,,,,,Yes,"Mine is still young, but so far it smells amazing and I have used it. Currently it is darker than when I began."
4/1/2021 16:55,Bourbon,Makers Mark,Sri Lankan,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 60 hrs @ 120 deg,None of the beans were split,No,5,3,4,4,Yes,
4/1/2021 18:47,Vodka,Kirkland (Costco),all my beans go in the Kirkland vodka!,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,5,5,5,5,Yes,
4/2/2021 0:30,Vodka,Sam's Club Brand ,Madagascar Mexican Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,3,2,3,3,Maybe,
4/2/2021 7:52,Dark Rum,Captain Morgan,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),"yes, sous vide ",None of the beans were split,No,5,4,3,5,Yes,I order 5-8 ozs of beans at a time.  I've been using vanilla more and can't seen to wait the 12-18 months til it's done. 
4/2/2021 10:01,Vodka,Different brands cheap kinds 750 ml bottles ,Madagascar Bourbon Cure,3-6 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,I did some in rum too I did all in 80 proof and all in triple folded and all different kinds in each of their own bottles 
4/2/2021 11:14,Vodka,Mr Boston,Indonesian,1-3 months,Unknown,No,"Yes, all the beans were split",No,2,2,4,3,No,
4/2/2021 11:44,Bourbon,Makers Mark,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),,Part of the beans were split,No,5,4,5,5,Yes,
4/2/2021 12:11,Vodka,Seagram's,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,"Yes, all the beans were split",No,5,4,4,3,Maybe,
4/2/2021 12:21,Vodka,Seagram's,Tahitian Tahitentis,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,3,4,4,2,No,"I did not like the Tahitian extract I made.  It smelled great, but not very strong vanilla flavor when added to baked items.  I ended up adding other beans and started a mother jar, hoping to improve the flavor of the extract."
4/2/2021 13:09,Vodka,Crystal Head,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,2,1,3,4,No,Turns out that I just don’t like Madagascar beans and Crystal Head is definitely my least favorite vodka (for both extract and drinking) as it’s just got too much bite for my tastes. I expect much better results from the Indonesian in Wild Roots Vodka extract that I’m replacing this icky extract with. 
4/2/2021 14:20,Vodka,Grey Goose,Mexican,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,5,5,4,Yes,Even though I made a basic extract I would like to eventually try many different vanilla types in all different alcohol.
4/2/2021 14:59,Vodka,Ketal One and Marker's Mark Brand,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,4,4,4,4,Yes,
4/2/2021 15:02,Bourbon,Jim Beam,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,4,2,2,4,Maybe,Hopefully by 12 months it will smell like vanilla
4/2/2021 17:43,Vodka,,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,,No,3,3,4,4,Yes,
4/3/2021 1:51,Vodka,Kirkland french vodka,V. tahitensis Papua New Guinea,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),"No, it was vacuum sealed in a jar initially",None of the beans were split,No,5,4,5,4,Yes,
4/3/2021 17:21,Vodka,Absolute,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,None of the beans were split,No,5,5,5,5,Yes,
4/4/2021 8:03,Vodka,Tito’s ,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,4,3,4,Yes,
4/6/2021 10:02,Bourbon,makers mark,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,Part of the beans were split,No,3,2,3,5,Yes,
4/6/2021 12:35,Vodka,Grey Goose,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,4,5,5,5,Yes,
4/7/2021 14:03,Vodka,,Sri Lankan,,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,4,4,4,4,Yes,
4/8/2021 20:48,Vodka,Smirnoff,Papua New Guinea V. planifolia,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,"Extract has a smooth, rich taste with no alcohol taste or smell"
4/13/2021 17:59,Vodka,Smirnoff,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,,5,5,4,4,Yes,"Familiar taste, but deeper and richer"
4/18/2021 9:58,Gold Rum,Appleton Estate Signature,Indonesian,3-6 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,5,5,Yes,
4/21/2021 15:08,,50% Everclear-50% Distilled Water,Madagascar Bourbon Cure,1-3 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),Alcohol was not heated,None of the beans were split,It is still extracting,1,1,2,2,Yes,"I’m emerging this early because at one month in the color is warm, the smell is sweetly vanilla. It has 11 months to go but I would encourage using Everclear Distilled water for what I’m sure will be a marvelous finished product."
4/21/2021 15:21,Vodka,Prairie Organic Farm Crafted Vodka,All these are mixed beans that are from on going extractions mostly Madagascar Bourbon Cure but some Indonesian and Papua New Guinea I have scraped of caviar and added to 8 ounces vodka,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No not heated,"Yes, all the beans were split",It is not done,4,4,5,4,Yes,This is a nice way for me to utilize my empty beans after scraping out the caviar. It Pra
4/23/2021 21:59,Vodka,Smirnoff,Papua New Guinea V. planifolia,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Yes,
5/11/2021 15:28,Vodka,Kettle One,Indonesian,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,,Yes,Since this is still cooking it is going just fine. I started this 4 Feb 2021
5/11/2021 15:36,Vodka,Kettle One,Madagascar Bourbon Cure,,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,,Yes,This is my first bottle started on 8 Feb 2021  4 oz bean
5/11/2021 15:41,Vodka,Finlandia,Tahitian,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,,Yes,I started this one 8 Feb 2021 with 4 oz of bean.
5/11/2021 15:43,Vodka,Grey Goose,Madagascar bought 30 years ago,,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,1,5,,Yes,This was done with 2 beans in a 50 ml bottle of Grey Goose. It darkened up within four hours.
5/13/2021 8:47,Vodka,Costco,I don't remember,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,"Yes, all the beans were split",No,4,5,5,4,Yes,
5/13/2021 13:21,Vodka,Minhas Brewery (from Saskatchewan Canada),Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),yes,"Yes, all the beans were split",No,4,2,4,4,Yes,I used my Instapot
6/2/2021 20:55,Vodka,Smirnoff,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),NO,"Yes, all the beans were split",No,4,2,4,5,Yes,This was started February 17/2021
6/3/2021 7:36,Vodka,Smirnoff ,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,3,3,3,2,Yes,I think it’s great based on just being a couple of months
6/4/2021 2:51,Coconut Rum,Captain Morgan’s ,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,5,5,5,Yes,
6/4/2021 6:23,Vodka,Costco,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,5,5,Yes,
6/4/2021 6:24,Vodka,Costco ,V. tahitensis Papua New Guinea,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,2,3,4,Yes,Needs more time 
6/7/2021 19:47,Vodka,Taaka,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),144 hours 125 *F in two segments of 72 hours,"Yes, all the beans were split",No,3,4,4,5,Yes,Not finished yet. I hope the sous vide will cut off a few months.
7/18/2021 14:28,Vodka,A mixture of several vodka ,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,5,5,5,Yes,"I'm not going to use it yet because I'm sure that it's not really ready, but I'm definitely a fan of splitting the beans.  I have some that I started way before this and the results are so totally different.  I'm probably going to split some of those beans. "
7/20/2021 13:40,Vodka,Tito’s ,Indonesian,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,
7/20/2021 13:41,White/Light/Silver Rum,Captain Morgan,Indonesian,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,
7/20/2021 13:43,Brandy,Asbach,Indonesian,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,3,5,5,Yes,Tastes better than it smells
7/20/2021 13:45,Moonshine,,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,"Yes, I used Light Toast",2,1,3,5,No,This is not good at all
7/20/2021 13:46,Vodka,Luksosawa ,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,"Yes, all the beans were split",No,5,5,5,5,Yes,
7/20/2021 13:47,Gold Rum,Plantation,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,"Yes, all the beans were split",No,5,5,5,5,Yes,
7/20/2021 13:49,Bourbon,BSB high altitude brown sugar,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,"Yes, all the beans were split",No,5,5,5,5,Yes,This is AMAZING in chocolate and cookies
7/20/2021 13:51,Diluted Everclear (List the ratio and proof you used in the comments),,Madagascar Mexican Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,190 proof 1:1 ratio
7/20/2021 13:53,Diluted Everclear (List the ratio and proof you used in the comments),,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,,4,5,5,5,Yes,Could probably go a little longer
7/20/2021 13:54,Vodka,Skyy,Papua New Guinea V. planifolia,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,
7/20/2021 13:54,Diluted Everclear (List the ratio and proof you used in the comments),,All bean types,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,1,5,5,Yes,I use Everclear 190 equal parts with distilled water
7/20/2021 13:55,White/Light/Silver Rum,Captain Morgan,Papua New Guinea V. planifolia,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,
7/20/2021 13:56,Gold Rum,Plantation,Papua New Guinea V. planifolia,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,My favorite overall extract
7/20/2021 13:57,Vodka,Skyy,V. tahitensis Papua New Guinea,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous Vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,
7/20/2021 13:58,White/Light/Silver Rum,Captain Morgan ,V. tahitensis Papua New Guinea,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 130 degrees for 72 hours,None of the beans were split,No,5,5,5,5,Yes,
7/20/2021 14:19,White/Light/Silver Rum,Bacardi and Kirkland Vodka,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,"Yes, I used Light Toast",5,5,5,5,Yes,
7/20/2021 14:36,White/Light/Silver Rum,Bacardi,Madagascar Bourbon Cure,15-18 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,3,4,5,Yes,Rum gives it a warm finish 
7/20/2021 14:52,Vodka,Tito’s ,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,3,4,3,Yes,
7/20/2021 15:14,Vodka,Seagram's Extra Smooth Vodka,Various - Mother Jar,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,5,5,Yes,
7/20/2021 15:18,Vodka,SEAGRAM'S Extra smooth vodka,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,4,Yes,
7/20/2021 15:20,Brandy,Christian Brothers brandy VS,Sri Lankan,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,2,4,Maybe,
7/20/2021 15:22,Vodka,SEAGRAM'S Ultra Smooth Vodka,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,2,2,2,Maybe,
7/20/2021 15:24,Vodka,SEAGRAM'S Ulta Smooth vodka ,Papua New Guinea V. planifolia,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,4,1,3,Yes,
7/20/2021 15:26,White/Light/Silver Rum,Captain Morgan White Rum,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,4,Yes,
7/20/2021 15:36,Spiced Rum,Captain Morgan,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,5,Yes,Not fully done. 
7/20/2021 17:04,Gold Rum,Bacardi,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,3,Maybe,I really want to see this sit longer and possibly heat a bit before I figure out if this is a combo i would do again.
7/20/2021 17:50,White/Light/Silver Rum,"Captain Morgan""s Silver",Papua New Guinea V. planifolia,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,4,5,Yes,
7/20/2021 17:51,Vodka,Amsterdam,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,2,3,4,No,
7/20/2021 17:53,Diluted Everclear (List the ratio and proof you used in the comments),,Madagascar Mexican Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),1:1 ratio,None of the beans were split,No,4,3,3,5,Yes,
7/20/2021 19:03,Vodka,Titos,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,4,Yes,
7/21/2021 0:31,Vodka,,Papua New Guinea V. planifolia,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,,4,5,5,Yes,
7/21/2021 0:33,Spiced Rum,Captain  Morgan ,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,2,2,3,3,Yes,
7/21/2021 15:38,Vodka,Kirkland (Costco) ,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,5,,Yes,
7/24/2021 6:03,Vodka,Svedka ,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Nope,"Yes, all the beans were split",No,5,5,5,5,Yes,
7/24/2021 6:03,Vodka,Kirkland,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Nope,"Yes, all the beans were split",No,5,5,5,5,Yes,
7/24/2021 6:08,Bourbon,Evan Williams,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,4,5,4,Yes,
7/24/2021 6:10,Vodka,Titos,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,3,5,4,Yes,
7/24/2021 6:11,Peach Whiskey,Bird Dog ,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,3,5,4,Yes,
7/24/2021 6:12,Bourbon,Evan Williams ,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,5,Yes,
7/24/2021 6:12,Vodka,Cheap bottom shelf,Papua New Guinea V. planifolia,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Not heated,None of the beans were split,No,5,5,5,4,Yes,
7/24/2021 6:13,Vodka,Bottom shelf,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Not heated,None of the beans were split,No,5,5,5,5,Yes,
7/24/2021 6:16,Vodka,Titos,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),130° for 72 hours ,None of the beans were split,No,4,3,4,4,Yes,
7/24/2021 6:18,White/Light/Silver Rum,Bacardi,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),130° for 72 hours,Part of the beans were split,No,4,5,3,4,Yes,
7/24/2021 6:25,Vodka,Costco,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,5,1,5,4,Yes,
7/24/2021 6:26,Vodka,Costco,V. tahitensis Papua New Guinea,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,3,2,3,3,Yes,"needs more time
"
7/24/2021 6:43,Vodka,Tito ,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Yes,Shook once a week.  Slightly over singlefold 4 oz beans to 3 cups of vodka 
7/24/2021 6:49,Vodka,It is an Icelandic brand,Indonesian,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,I will when it’s time,4,4,5,5,Yes,"One year in, so far so good"
7/24/2021 6:53,Vodka,New Amsterdam ,Madagascar Mexican Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,5,Yes,
7/24/2021 7:06,Vodka,New Amsterdam,Papua New Guinea V. planifolia,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,2,4,5,Yes,My extract is still very young but it’s already dark and the flavor scent is developing. 
7/24/2021 7:19,Vodka,Fris,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Sous vide ,None of the beans were split,No,4,4,4,5,Yes,I will be using block to get a better flavor
7/24/2021 7:20,Vodka,Fris,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,
7/24/2021 7:21,Spiced Rum,DeeAnn Varwig,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Yes warmed to 140* ,Part of the beans were split,No,5,5,5,5,Yes,I believe the secret is to open the bottle after shaking vigorously helps disperse the alcohol smell. I think it also helps with it becoming mature quicker
7/24/2021 7:36,Vodka,Western Son ,Sri Lankan,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,5,5,Yes,It is a corn based vodka and really smooth.
7/24/2021 9:11,Vodka,Iceberg Vodka,Indonesian,9-12 months,Unknown,Not heated,None of the beans were split,No,4,2,4,4,Yes,
7/24/2021 9:14,Dry Gin,Bombay Sapphire,Papua New Guinea V. planifolia,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Not heated,None of the beans were split,No,5,5,5,4,Yes,I was very surprised as to the smell which is divine.  Used Gin as a ‘let’s see what happens’.  Over the moon with taste and smell.
7/24/2021 9:19,Vodka,Svedka ,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,None of the beans were split,No,4,4,4,3,Maybe,
7/24/2021 9:20,Vodka,,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),no,"Yes, all the beans were split",No,4,4,3,5,Yes,
7/24/2021 9:20,Vodka,Svedka ,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,None of the beans were split,No,3,4,4,3,Yes,
7/24/2021 9:23,Bourbon,Evan Williams ,Albus and Dobby,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,None of the beans were split,No,1,1,2,3,No,
7/24/2021 12:34,White/Light/Silver Rum,Bacardi,Papua New Guinea V. planifolia,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,"Yes, I used Medium Toast",4,4,5,4,No,Bacardi rum was a bit harsh. Cruzan is much smoother
7/24/2021 12:35,Gold Rum,Cruzan,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,5,4,Yes,
7/24/2021 12:52,White/Light/Silver Rum,Captain Morgan ,Ugandan,1-3 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,The best vanilla in the matter of weeks 
7/24/2021 13:10,Vodka,Smirnoff,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,1,1,3,3,No,"I am very disappointed in how it turned out. This was a batch I did in June 2020 before they were named. I also have Dobby, James, Kingsley (and Tonks eventually on its way). I think if I had tried this batch before ordering anymore, I probably wouldn't have ordered anymore. Not sure if I should throw any more money at this and order oak blocks or not."
7/24/2021 13:31,White/Light/Silver Rum,Bicardi,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,2,3,3,Maybe,Dobby after 12 1/2 months tastes like vanilla alcohol. 
7/24/2021 13:33,Diluted Everclear (List the ratio and proof you used in the comments),,Madagascar Bourbon Cure,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,
7/24/2021 16:48,Vodka,New Amsterdam,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,4,4,4,5,Yes,"I tested at 9 months for these answers. I tested again at 12 months and it was good to go with vanilla smell, not boozey smell, excellent taste when tested on whipped cream. "
7/24/2021 16:52,Bourbon,Woodford,Ugandan mixed evenly with Mexican,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),no,Part of the beans were split,No,3,3,3,4,Yes,"Using bourbon, due to its strong flavor, beans take much longer to be ready. Testing it at 12 months was a sure bet that it wouldn't be finished. This extract takes at least 2 years to be really good and smooth.  "
